province_state,country_region,date,confirmed,recovered,deaths
Yamanashi,Japan,2023-02-13,186080,,379
Aichi,Japan,2022-02-16,261570,,1380
Akita,Japan,2022-02-16,7191,,29
Aomori,Japan,2022-02-16,16328,,52
Chiba,Japan,2022-02-16,220765,,1155
Ehime,Japan,2022-02-16,14205,,105
Fukui,Japan,2022-02-16,9135,,38
Fukuoka,Japan,2022-02-16,194690,,777
Fukushima,Japan,2022-02-16,20553,,182
Gifu,Japan,2022-02-16,43288,,248
Gunma,Japan,2022-02-16,43835,,225
Hiroshima,Japan,2022-02-16,65706,,327
Hokkaido,Japan,2022-02-16,143675,,1631
Hyogo,Japan,2022-02-16,214473,,1617
Ibaraki,Japan,2022-02-16,57504,,250
Ishikawa,Japan,2022-02-16,19636,,154
Iwate,Japan,2022-02-16,7275,,55
Kagawa,Japan,2022-02-16,13861,,57
Kagoshima,Japan,2022-02-16,25771,,99
Kanagawa,Japan,2022-02-16,370453,,1483
Kochi,Japan,2022-02-16,9800,,54
Kumamoto,Japan,2022-02-16,41545,,184
Kyoto,Japan,2022-02-16,102878,,345
Mie,Japan,2022-02-16,33654,,211
Miyagi,Japan,2022-02-16,32343,,126
Miyazaki,Japan,2022-02-16,15934,,70
Nagano,Japan,2022-02-16,26318,,127
Nagasaki,Japan,2022-02-16,21966,,95
Nara,Japan,2022-02-16,43003,,202
Niigata,Japan,2022-02-16,24139,,65
Oita,Japan,2022-02-16,20042,,90
Okayama,Japan,2022-02-16,41224,,171
Okinawa,Japan,2022-02-16,92374,,421
Osaka,Japan,2022-02-16,537893,,3455
Port Quarantine,Japan,2022-02-16,4463,,4
Saga,Japan,2022-02-16,18970,,48
Saitama,Japan,2022-02-16,255160,,1122
Shiga,Japan,2022-02-16,37680,,120
Shimane,Japan,2022-02-16,5434,,7
Shizuoka,Japan,2022-02-16,72050,,274
Tochigi,Japan,2022-02-16,37081,,152
Tokushima,Japan,2022-02-16,7729,,71
Tokyo,Japan,2022-02-16,846120,,3354
Tottori,Japan,2022-02-16,5029,,5
Toyama,Japan,2022-02-16,12519,,56
Unknown,Japan,2022-02-16,8,,0
Wakayama,Japan,2022-02-16,18677,,85
Yamagata,Japan,2022-02-16,9315,,59
Yamaguchi,Japan,2022-02-16,17930,,111
Yamanashi,Japan,2022-02-16,13835,,38
Aichi,Japan,2021-05-26,45766,37847,724
Akita,Japan,2021-05-26,753,642,12
Aomori,Japan,2021-05-26,2263,1908,28
Chiba,Japan,2021-05-26,36579,34719,672
Ehime,Japan,2021-05-26,2691,2504,71
Fukui,Japan,2021-05-26,1035,945,34
Fukuoka,Japan,2021-05-26,33355,27408,433
Fukushima,Japan,2021-05-26,4509,4000,135
Gifu,Japan,2021-05-26,8325,7386,149
Gunma,Japan,2021-05-26,7705,6980,134
Hiroshima,Japan,2021-05-26,10166,7708,123
Hokkaido,Japan,2021-05-26,35951,26792,1038
Hyogo,Japan,2021-05-26,39362,34736,1133
Ibaraki,Japan,2021-05-26,9553,8860,144
Ishikawa,Japan,2021-05-26,3636,2941,102
Iwate,Japan,2021-05-26,1380,1163,43
Kagawa,Japan,2021-05-26,1970,1732,24
Kagoshima,Japan,2021-05-26,3203,2798,32
Kanagawa,Japan,2021-05-26,60462,57153,874
Kochi,Japan,2021-05-26,1340,1136,20
Kumamoto,Japan,2021-05-26,6095,5077,95
Kyoto,Japan,2021-05-26,15599,13980,202
Mie,Japan,2021-05-26,4775,4328,103
Miyagi,Japan,2021-05-26,8822,8403,82
Miyazaki,Japan,2021-05-26,2996,2696,24
Nagano,Japan,2021-05-26,4698,4300,75
Nagasaki,Japan,2021-05-26,2843,2547,63
Nara,Japan,2021-05-26,7691,7158,111
Niigata,Japan,2021-05-26,3124,2705,35
Oita,Japan,2021-05-26,3269,2675,40
Okayama,Japan,2021-05-26,7111,5045,97
Okinawa,Japan,2021-05-26,15801,13389,149
Osaka,Japan,2021-05-26,98601,84208,2213
Port Quarantine,Japan,2021-05-26,2936,2823,3
Saga,Japan,2021-05-26,2463,2210,19
Saitama,Japan,2021-05-26,43248,40275,778
Shiga,Japan,2021-05-26,4902,4346,79
Shimane,Japan,2021-05-26,532,409,0
Shizuoka,Japan,2021-05-26,8134,7149,134
Tochigi,Japan,2021-05-26,6193,5734,75
Tokushima,Japan,2021-05-26,1625,1461,60
Tokyo,Japan,2021-05-26,158478,150274,2015
Tottori,Japan,2021-05-26,463,411,2
Toyama,Japan,2021-05-26,1805,1450,35
Unknown,Japan,2021-05-26,8,8,0
Wakayama,Japan,2021-05-26,2586,2362,39
Yamagata,Japan,2021-05-26,1928,1641,41
Yamaguchi,Japan,2021-05-26,2832,2181,60
Yamanashi,Japan,2021-05-26,1509,1352,19
,Japan,2020-04-13,7370,784,123
Aichi,Japan,2021-10-06,106024,,1143
Akita,Japan,2021-10-06,1890,,26
Aomori,Japan,2021-10-06,5746,,38
Chiba,Japan,2021-10-06,99920,,1004
Ehime,Japan,2021-10-06,5224,,81
Fukui,Japan,2021-10-06,3069,,37
Fukuoka,Japan,2021-10-06,74180,,618
Fukushima,Japan,2021-10-06,9464,,174
Gifu,Japan,2021-10-06,18514,,216
Gunma,Japan,2021-10-06,16649,,174
Hiroshima,Japan,2021-10-06,21772,,199
Hokkaido,Japan,2021-10-06,60345,,1468
Hyogo,Japan,2021-10-06,77946,,1389
Ibaraki,Japan,2021-10-06,24270,,217
Ishikawa,Japan,2021-10-06,7921,,125
Iwate,Japan,2021-10-06,3485,,52
Kagawa,Japan,2021-10-06,4691,,37
Kagoshima,Japan,2021-10-06,9067,,67
Kanagawa,Japan,2021-10-06,168178,,1276
Kochi,Japan,2021-10-06,4119,,31
Kumamoto,Japan,2021-10-06,14344,,136
Kyoto,Japan,2021-10-06,35700,,282
Mie,Japan,2021-10-06,14663,,164
Miyagi,Japan,2021-10-06,16281,,117
Miyazaki,Japan,2021-10-06,6126,,41
Nagano,Japan,2021-10-06,8777,,96
Nagasaki,Japan,2021-10-06,6021,,72
Nara,Japan,2021-10-06,15449,,150
Niigata,Japan,2021-10-06,7932,,60
Oita,Japan,2021-10-06,8150,,84
Okayama,Japan,2021-10-06,15155,,136
Okinawa,Japan,2021-10-06,49913,,328
Osaka,Japan,2021-10-06,200613,,2985
Port Quarantine,Japan,2021-10-06,4295,,4
Saga,Japan,2021-10-06,5794,,29
Saitama,Japan,2021-10-06,115190,,1013
Shiga,Japan,2021-10-06,12329,,102
Shimane,Japan,2021-10-06,1644,,4
Shizuoka,Japan,2021-10-06,26694,,209
Tochigi,Japan,2021-10-06,15345,,116
Tokushima,Japan,2021-10-06,3273,,65
Tokyo,Japan,2021-10-06,376421,,2975
Tottori,Japan,2021-10-06,1651,,5
Toyama,Japan,2021-10-06,4821,,51
Unknown,Japan,2021-10-06,8,,0
Wakayama,Japan,2021-10-06,5270,,61
Yamagata,Japan,2021-10-06,3541,,57
Yamaguchi,Japan,2021-10-06,5619,,90
Yamanashi,Japan,2021-10-06,5141,,29
Aichi,Japan,2021-08-25,72896,,1032
Akita,Japan,2021-08-25,1500,,21
Aomori,Japan,2021-08-25,3812,,33
Chiba,Japan,2021-08-25,78819,,809
Ehime,Japan,2021-08-25,4354,,78
Fukui,Japan,2021-08-25,2349,,36
Fukuoka,Japan,2021-08-25,59918,,561
Fukushima,Japan,2021-08-25,8332,,165
Gifu,Japan,2021-08-25,13667,,195
Gunma,Japan,2021-08-25,13574,,159
Hiroshima,Japan,2021-08-25,16832,,180
Hokkaido,Japan,2021-08-25,54534,,1437
Hyogo,Japan,2021-08-25,60144,,1333
Ibaraki,Japan,2021-08-25,19156,,182
Ishikawa,Japan,2021-08-25,6957,,124
Iwate,Japan,2021-08-25,2780,,48
Kagawa,Japan,2021-08-25,3830,,34
Kagoshima,Japan,2021-08-25,7354,,46
Kanagawa,Japan,2021-08-25,134554,,1084
Kochi,Japan,2021-08-25,3010,,31
Kumamoto,Japan,2021-08-25,11270,,124
Kyoto,Japan,2021-08-25,27293,,251
Mie,Japan,2021-08-25,10268,,123
Miyagi,Japan,2021-08-25,13810,,97
Miyazaki,Japan,2021-08-25,4874,,30
Nagano,Japan,2021-08-25,7393,,94
Nagasaki,Japan,2021-08-25,4932,,69
Nara,Japan,2021-08-25,11988,,136
Niigata,Japan,2021-08-25,6200,,54
Oita,Japan,2021-08-25,6167,,66
Okayama,Japan,2021-08-25,12242,,127
Okinawa,Japan,2021-08-25,39389,,250
Osaka,Japan,2021-08-25,154110,,2772
Port Quarantine,Japan,2021-08-25,3829,,4
Saga,Japan,2021-08-25,4695,,27
Saitama,Japan,2021-08-25,92745,,878
Shiga,Japan,2021-08-25,9573,,95
Shimane,Japan,2021-08-25,1223,,2
Shizuoka,Japan,2021-08-25,19529,,163
Tochigi,Japan,2021-08-25,12311,,100
Tokushima,Japan,2021-08-25,2375,,63
Tokyo,Japan,2021-08-25,323225,,2404
Tottori,Japan,2021-08-25,1338,,3
Toyama,Japan,2021-08-25,4003,,39
Unknown,Japan,2021-08-25,8,,0
Wakayama,Japan,2021-08-25,4219,,52
Yamagata,Japan,2021-08-25,3007,,49
Yamaguchi,Japan,2021-08-25,4558,,85
Yamanashi,Japan,2021-08-25,4145,,23
Aichi,Japan,2022-07-14,612518,,2107
Akita,Japan,2022-07-14,33789,,72
Aomori,Japan,2022-07-14,69890,,117
Chiba,Japan,2022-07-14,492669,,1811
Ehime,Japan,2022-07-14,52158,,143
Fukui,Japan,2022-07-14,42341,,46
Fukuoka,Japan,2022-07-14,487375,,1292
Fukushima,Japan,2022-07-14,69970,,228
Gifu,Japan,2022-07-14,115974,,351
Gunma,Japan,2022-07-14,104038,,323
Hiroshima,Japan,2022-07-14,178004,,499
Hokkaido,Japan,2022-07-14,393458,,2105
Hyogo,Japan,2022-07-14,473305,,2258
Ibaraki,Japan,2022-07-14,171260,,453
Ishikawa,Japan,2022-07-14,64319,,199
Iwate,Japan,2022-07-14,41339,,97
Kagawa,Japan,2022-07-14,54089,,132
Kagoshima,Japan,2022-07-14,105662,,215
Kanagawa,Japan,2022-07-14,828946,,2251
Kochi,Japan,2022-07-14,33473,,116
Kumamoto,Japan,2022-07-14,132178,,321
Kyoto,Japan,2022-07-14,226528,,757
Mie,Japan,2022-07-14,94964,,317
Miyagi,Japan,2022-07-14,100007,,202
Miyazaki,Japan,2022-07-14,66071,,150
Nagano,Japan,2022-07-14,82479,,206
Nagasaki,Japan,2022-07-14,73373,,129
Nara,Japan,2022-07-14,100911,,394
Niigata,Japan,2022-07-14,79963,,91
Oita,Japan,2022-07-14,66416,,171
Okayama,Japan,2022-07-14,109851,,252
Okinawa,Japan,2022-07-14,284412,,497
Osaka,Japan,2022-07-14,1084096,,5230
Port Quarantine,Japan,2022-07-14,4463,,4
Saga,Japan,2022-07-14,66185,,113
Saitama,Japan,2022-07-14,603038,,1667
Shiga,Japan,2022-07-14,101736,,222
Shimane,Japan,2022-07-14,29093,,26
Shizuoka,Japan,2022-07-14,193640,,425
Tochigi,Japan,2022-07-14,98551,,281
Tokushima,Japan,2022-07-14,26518,,86
Tokyo,Japan,2022-07-14,1713982,,4592
Tottori,Japan,2022-07-14,19915,,20
Toyama,Japan,2022-07-14,43183,,97
Unknown,Japan,2022-07-14,8,,0
Wakayama,Japan,2022-07-14,49699,,118
Yamagata,Japan,2022-07-14,32574,,98
Yamaguchi,Japan,2022-07-14,53582,,181
Yamanashi,Japan,2022-07-14,37188,,68
Aichi,Japan,2022-10-03,1369286,,2879
Akita,Japan,2022-10-03,101243,,227
Aomori,Japan,2022-10-03,163975,,307
Chiba,Japan,2022-10-03,950684,,2590
Ehime,Japan,2022-10-03,162883,,289
Fukui,Japan,2022-10-03,114823,,98
Fukuoka,Japan,2022-10-03,1081517,,1970
Fukushima,Japan,2022-10-03,188287,,266
Gifu,Japan,2022-10-03,291913,,589
Gunma,Japan,2022-10-03,237896,,472
Hiroshima,Japan,2022-10-03,434227,,764
Hokkaido,Japan,2022-10-03,752285,,2597
Hyogo,Japan,2022-10-03,1011317,,2860
Ibaraki,Japan,2022-10-03,366245,,691
Ishikawa,Japan,2022-10-03,162623,,284
Iwate,Japan,2022-10-03,109180,,195
Kagawa,Japan,2022-10-03,143071,,294
Kagoshima,Japan,2022-10-03,300161,,543
Kanagawa,Japan,2022-10-03,1493056,,2980
Kochi,Japan,2022-10-03,100550,,296
Kumamoto,Japan,2022-10-03,331442,,648
Kyoto,Japan,2022-10-03,478549,,1069
Mie,Japan,2022-10-03,255249,,533
Miyagi,Japan,2022-10-03,261391,,397
Miyazaki,Japan,2022-10-03,195856,,363
Nagano,Japan,2022-10-03,210025,,347
Nagasaki,Japan,2022-10-03,213033,,333
Nara,Japan,2022-10-03,221722,,531
Niigata,Japan,2022-10-03,235295,,163
Oita,Japan,2022-10-03,176585,,380
Okayama,Japan,2022-10-03,276204,,411
Okinawa,Japan,2022-10-03,501183,,727
Osaka,Japan,2022-10-03,2101721,,6465
Port Quarantine,Japan,2022-10-03,4463,,4
Saga,Japan,2022-10-03,157881,,226
Saitama,Japan,2022-10-03,1194557,,2402
Shiga,Japan,2022-10-03,234613,,326
Shimane,Japan,2022-10-03,83005,,94
Shizuoka,Japan,2022-10-03,496144,,750
Tochigi,Japan,2022-10-03,225363,,494
Tokushima,Japan,2022-10-03,93464,,175
Tokyo,Japan,2022-10-03,3178021,,5862
Tottori,Japan,2022-10-03,63472,,77
Toyama,Japan,2022-10-03,129838,,180
Unknown,Japan,2022-10-03,8,,0
Wakayama,Japan,2022-10-03,133917,,253
Yamagata,Japan,2022-10-03,107137,,196
Yamaguchi,Japan,2022-10-03,164526,,392
Yamanashi,Japan,2022-10-03,96457,,154
Aichi,Japan,2020-06-07,510,463,34
Akita,Japan,2020-06-07,16,16,0
Aomori,Japan,2020-06-07,27,26,1
Chiba,Japan,2020-06-07,912,842,45
Ehime,Japan,2020-06-07,82,64,4
Fukui,Japan,2020-06-07,122,113,8
Fukuoka,Japan,2020-06-07,799,641,28
Fukushima,Japan,2020-06-07,81,78,0
Gifu,Japan,2020-06-07,151,142,7
Gunma,Japan,2020-06-07,151,123,19
Hiroshima,Japan,2020-06-07,165,162,3
Hokkaido,Japan,2020-06-07,1112,869,90
Hyogo,Japan,2020-06-07,699,652,42
Ibaraki,Japan,2020-06-07,168,155,10
Ishikawa,Japan,2020-06-07,299,237,27
Kagawa,Japan,2020-06-07,28,28,0
Kagoshima,Japan,2020-06-07,10,10,0
Kanagawa,Japan,2020-06-07,1396,1163,88
Kochi,Japan,2020-06-07,74,71,3
Kumamoto,Japan,2020-06-07,47,44,3
Kyoto,Japan,2020-06-07,359,332,18
Mie,Japan,2020-06-07,45,44,1
Miyagi,Japan,2020-06-07,88,87,1
Miyazaki,Japan,2020-06-07,17,17,0
Nagano,Japan,2020-06-07,75,71,0
Nagasaki,Japan,2020-06-07,17,16,1
Nara,Japan,2020-06-07,92,89,2
Niigata,Japan,2020-06-07,82,81,0
Oita,Japan,2020-06-07,60,58,1
Okayama,Japan,2020-06-07,25,25,0
Okinawa,Japan,2020-06-07,145,137,6
Osaka,Japan,2020-06-07,1785,1628,84
Port Quarantine,Japan,2020-06-07,216,162,0
Saga,Japan,2020-06-07,45,45,0
Saitama,Japan,2020-06-07,1007,920,51
Shiga,Japan,2020-06-07,100,97,1
Shimane,Japan,2020-06-07,24,23,0
Shizuoka,Japan,2020-06-07,76,72,1
Tochigi,Japan,2020-06-07,66,60,0
Tokushima,Japan,2020-06-07,5,4,1
Tokyo,Japan,2020-06-07,5387,4696,311
Tottori,Japan,2020-06-07,3,3,0
Toyama,Japan,2020-06-07,227,199,22
Unknown,Japan,2020-06-07,8,0,0
Wakayama,Japan,2020-06-07,63,60,3
Yamagata,Japan,2020-06-07,69,67,0
Yamaguchi,Japan,2020-06-07,37,36,0
Yamanashi,Japan,2020-06-07,67,62,1
Aichi,Japan,2020-11-15,7712,6327,96
Akita,Japan,2020-11-15,73,65,0
Aomori,Japan,2020-11-15,278,235,6
Chiba,Japan,2020-11-15,5782,5091,84
Ehime,Japan,2020-11-15,129,110,6
Fukui,Japan,2020-11-15,272,246,11
Fukuoka,Japan,2020-11-15,5373,5156,103
Fukushima,Japan,2020-11-15,438,389,6
Gifu,Japan,2020-11-15,809,693,12
Gunma,Japan,2020-11-15,956,890,20
Hiroshima,Japan,2020-11-15,697,658,5
Hokkaido,Japan,2020-11-15,5483,3324,126
Hyogo,Japan,2020-11-15,3974,3399,70
Ibaraki,Japan,2020-11-15,967,779,19
Ishikawa,Japan,2020-11-15,830,766,49
Iwate,Japan,2020-11-15,75,28,0
Kagawa,Japan,2020-11-15,115,100,2
Kagoshima,Japan,2020-11-15,557,470,15
Kanagawa,Japan,2020-11-15,10173,8932,183
Kochi,Japan,2020-11-15,144,140,4
Kumamoto,Japan,2020-11-15,915,815,10
Kyoto,Japan,2020-11-15,2296,2065,33
Mie,Japan,2020-11-15,619,564,6
Miyagi,Japan,2020-11-15,989,778,7
Miyazaki,Japan,2020-11-15,373,370,1
Nagano,Japan,2020-11-15,460,345,6
Nagasaki,Japan,2020-11-15,251,242,3
Nara,Japan,2020-11-15,844,672,11
Niigata,Japan,2020-11-15,226,184,0
Oita,Japan,2020-11-15,164,158,3
Okayama,Japan,2020-11-15,396,259,10
Okinawa,Japan,2020-11-15,3744,3347,66
Osaka,Japan,2020-11-15,15421,13080,254
Port Quarantine,Japan,2020-11-15,1354,514,1
Saga,Japan,2020-11-15,276,266,1
Saitama,Japan,2020-11-15,6823,5864,118
Shiga,Japan,2020-11-15,663,559,9
Shimane,Japan,2020-11-15,141,141,0
Shizuoka,Japan,2020-11-15,882,687,4
Tochigi,Japan,2020-11-15,516,490,2
Tokushima,Japan,2020-11-15,171,156,9
Tokyo,Japan,2020-11-15,34789,21368,464
Tottori,Japan,2020-11-15,52,41,0
Toyama,Japan,2020-11-15,428,397,26
Unknown,Japan,2020-11-15,8,8,0
Wakayama,Japan,2020-11-15,326,272,4
Yamagata,Japan,2020-11-15,98,83,1
Yamaguchi,Japan,2020-11-15,266,211,2
Yamanashi,Japan,2020-11-15,283,220,6
Aichi,Japan,2021-02-17,25416,23592,489
Akita,Japan,2021-02-17,269,246,6
Aomori,Japan,2021-02-17,812,721,18
Chiba,Japan,2021-02-17,25006,22127,373
Ehime,Japan,2021-02-17,1029,969,22
Fukui,Japan,2021-02-17,535,487,25
Fukuoka,Japan,2021-02-17,17566,16024,250
Fukushima,Japan,2021-02-17,1861,1658,66
Gifu,Japan,2021-02-17,4527,4259,94
Gunma,Japan,2021-02-17,4324,3978,81
Hiroshima,Japan,2021-02-17,4986,4742,97
Hokkaido,Japan,2021-02-17,18635,17157,644
Hyogo,Japan,2021-02-17,17720,16333,499
Ibaraki,Japan,2021-02-17,5441,4945,101
Ishikawa,Japan,2021-02-17,1730,1474,61
Iwate,Japan,2021-02-17,539,482,29
Kagawa,Japan,2021-02-17,724,662,18
Kagoshima,Japan,2021-02-17,1739,1637,26
Kanagawa,Japan,2021-02-17,43636,41504,630
Kochi,Japan,2021-02-17,882,845,17
Kumamoto,Japan,2021-02-17,3427,3252,71
Kyoto,Japan,2021-02-17,8957,8258,145
Mie,Japan,2021-02-17,2419,2202,47
Miyagi,Japan,2021-02-17,3562,3411,23
Miyazaki,Japan,2021-02-17,1934,1841,20
Nagano,Japan,2021-02-17,2349,2305,40
Nagasaki,Japan,2021-02-17,1588,1460,36
Nara,Japan,2021-02-17,3236,3108,46
Niigata,Japan,2021-02-17,1020,922,13
Oita,Japan,2021-02-17,1271,1176,18
Okayama,Japan,2021-02-17,2458,2300,29
Okinawa,Japan,2021-02-17,8054,7574,105
Osaka,Japan,2021-02-17,46248,42918,1078
Port Quarantine,Japan,2021-02-17,2200,2151,2
Saga,Japan,2021-02-17,1006,979,8
Saitama,Japan,2021-02-17,28141,25321,490
Shiga,Japan,2021-02-17,2348,2145,40
Shimane,Japan,2021-02-17,286,274,0
Shizuoka,Japan,2021-02-17,4904,4629,91
Tochigi,Japan,2021-02-17,3991,3732,61
Tokushima,Japan,2021-02-17,454,371,16
Tokyo,Japan,2021-02-17,107567,102184,1180
Tottori,Japan,2021-02-17,208,194,2
Toyama,Japan,2021-02-17,898,845,27
Unknown,Japan,2021-02-17,8,8,0
Wakayama,Japan,2021-02-17,1154,1065,17
Yamagata,Japan,2021-02-17,534,493,15
Yamaguchi,Japan,2021-02-17,1363,1197,35
Yamanashi,Japan,2021-02-17,934,895,17
Aichi,Japan,2022-01-06,107411,,1161
Akita,Japan,2022-01-06,1936,,27
Aomori,Japan,2022-01-06,5919,,38
Chiba,Japan,2022-01-06,100944,,1028
Ehime,Japan,2022-01-06,5427,,82
Fukui,Japan,2022-01-06,3131,,38
Fukuoka,Japan,2022-01-06,74968,,627
Fukushima,Japan,2022-01-06,9553,,176
Gifu,Japan,2022-01-06,19028,,219
Gunma,Japan,2022-01-06,17512,,177
Hiroshima,Japan,2022-01-06,22858,,203
Hokkaido,Japan,2022-01-06,61684,,1475
Hyogo,Japan,2022-01-06,79117,,1398
Ibaraki,Japan,2022-01-06,24554,,220
Ishikawa,Japan,2022-01-06,8072,,137
Iwate,Japan,2022-01-06,3506,,53
Kagawa,Japan,2022-01-06,4732,,38
Kagoshima,Japan,2022-01-06,9213,,66
Kanagawa,Japan,2022-01-06,170204,,1319
Kochi,Japan,2022-01-06,4182,,33
Kumamoto,Japan,2022-01-06,14426,,136
Kyoto,Japan,2022-01-06,36490,,292
Mie,Japan,2022-01-06,14835,,163
Miyagi,Japan,2022-01-06,16318,,118
Miyazaki,Japan,2022-01-06,6149,,41
Nagano,Japan,2022-01-06,9081,,97
Nagasaki,Japan,2022-01-06,6159,,73
Nara,Japan,2022-01-06,15827,,149
Niigata,Japan,2022-01-06,8309,,63
Oita,Japan,2022-01-06,8199,,84
Okayama,Japan,2022-01-06,15609,,136
Okinawa,Japan,2022-01-06,52724,,398
Osaka,Japan,2022-01-06,204869,,3064
Port Quarantine,Japan,2022-01-06,4463,,4
Saga,Japan,2022-01-06,5914,,30
Saitama,Japan,2022-01-06,116404,,1059
Shiga,Japan,2022-01-06,12706,,104
Shimane,Japan,2022-01-06,1800,,5
Shizuoka,Japan,2022-01-06,26972,,209
Tochigi,Japan,2022-01-06,15769,,117
Tokushima,Japan,2022-01-06,3300,,66
Tokyo,Japan,2022-01-06,384526,,3175
Tottori,Japan,2022-01-06,1700,,5
Toyama,Japan,2022-01-06,4872,,52
Unknown,Japan,2022-01-06,8,,0
Wakayama,Japan,2022-01-06,5323,,62
Yamagata,Japan,2022-01-06,3624,,56
Yamaguchi,Japan,2022-01-06,6305,,93
Yamanashi,Japan,2022-01-06,5205,,29
Aichi,Japan,2021-10-31,106713,,1156
Akita,Japan,2021-10-31,1908,,27
Aomori,Japan,2021-10-31,5897,,38
Chiba,Japan,2021-10-31,100343,,1024
Ehime,Japan,2021-10-31,5389,,82
Fukui,Japan,2021-10-31,3111,,38
Fukuoka,Japan,2021-10-31,74489,,622
Fukushima,Japan,2021-10-31,9484,,175
Gifu,Japan,2021-10-31,18788,,218
Gunma,Japan,2021-10-31,16818,,177
Hiroshima,Japan,2021-10-31,22073,,202
